"Label (Grouping)","Total:!!Male:!!18 years and over:!!Native","Total:!!Male:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen","Total:!!Female:!!18 years and over:!!Native","Total:!!Female:!!18 years and over:!!Foreign born:!!Naturalized U.S. citizen"
"Gilmer County, West Virginia","","","",""
"    Estimate","3,838","23","2,721","12"
"Grant County, West Virginia","","","",""
"    Estimate","4,750","0","4,632","49"
"Greenbrier County, West Virginia","","","",""
"    Estimate","13,408","199","14,200","173"
"Hampshire County, West Virginia","","","",""
"    Estimate","9,578","24","9,204","64"
"Hancock County, West Virginia","","","",""
"    Estimate","11,187","81","12,153","80"
"Hardy County, West Virginia","","","",""
"    Estimate","5,236","135","5,227","88"
"Harrison County, West Virginia","","","",""
"    Estimate","25,335","184","27,216","137"
"Jackson County, West Virginia","","","",""
"    Estimate","10,996","41","11,282","163"
"Jefferson County, West Virginia","","","",""
"    Estimate","20,364","763","21,218","897"
"Kanawha County, West Virginia","","","",""
"    Estimate","67,460","818","74,295","980"
"Lewis County, West Virginia","","","",""
"    Estimate","6,234","0","6,288","55"
"Lincoln County, West Virginia","","","",""
"    Estimate","7,827","0","8,092","6"
"Logan County, West Virginia","","","",""
"    Estimate","12,599","10","13,231","27"
"McDowell County, West Virginia","","","",""
"    Estimate","7,104","6","7,105","19"
"Marion County, West Virginia","","","",""
"    Estimate","21,618","178","22,757","207"
"Marshall County, West Virginia","","","",""
"    Estimate","12,192","89","12,441","107"
"Mason County, West Virginia","","","",""
"    Estimate","9,857","157","10,984","63"
"Mercer County, West Virginia","","","",""
"    Estimate","21,908","118","24,714","247"
"Mineral County, West Virginia","","","",""
"    Estimate","10,663","0","10,875","84"
"Mingo County, West Virginia","","","",""
"    Estimate","8,868","9","9,582","29"
"Monongalia County, West Virginia","","","",""
"    Estimate","42,683","756","40,688","1,054"
"Monroe County, West Virginia","","","",""
"    Estimate","5,238","0","5,358","4"
"Morgan County, West Virginia","","","",""
"    Estimate","7,121","124","7,211","103"
"Nicholas County, West Virginia","","","",""
"    Estimate","9,559","42","9,982","0"
"Ohio County, West Virginia","","","",""
"    Estimate","15,697","191","17,334","342"
"Pendleton County, West Virginia","","","",""
"    Estimate","2,938","0","2,837","4"
"Pleasants County, West Virginia","","","",""
"    Estimate","3,249","6","2,697","35"
"Pocahontas County, West Virginia","","","",""
"    Estimate","3,537","25","3,324","17"
"Preston County, West Virginia","","","",""
"    Estimate","13,772","76","13,077","33"
"Putnam County, West Virginia","","","",""
"    Estimate","21,025","188","22,236","347"
"Raleigh County, West Virginia","","","",""
"    Estimate","28,880","198","29,168","233"
"Randolph County, West Virginia","","","",""
"    Estimate","11,896","16","11,153","41"
"Ritchie County, West Virginia","","","",""
"    Estimate","3,820","26","3,854","18"
"Roane County, West Virginia","","","",""
"    Estimate","5,364","0","5,460","11"
"Summers County, West Virginia","","","",""
"    Estimate","4,753","1","5,787","55"
"Taylor County, West Virginia","","","",""
"    Estimate","6,609","23","6,726","25"
"Tucker County, West Virginia","","","",""
"    Estimate","2,928","0","2,924","8"
"Tyler County, West Virginia","","","",""
"    Estimate","3,489","2","3,503","4"
"Upshur County, West Virginia","","","",""
"    Estimate","9,574","6","9,839","5"
"Wayne County, West Virginia","","","",""
"    Estimate","15,124","0","16,335","81"
"Webster County, West Virginia","","","",""
"    Estimate","3,287","0","3,342","2"
"Wetzel County, West Virginia","","","",""
"    Estimate","5,831","38","6,287","25"
"Wirt County, West Virginia","","","",""
"    Estimate","2,276","0","2,272","11"
"Wood County, West Virginia","","","",""
"    Estimate","31,476","206","34,295","336"
"Wyoming County, West Virginia","","","",""
"    Estimate","8,038","2","8,443","65"
"Adams County, Wisconsin","","","",""
"    Estimate","9,030","144","7,697","147"
"Ashland County, Wisconsin","","","",""
"    Estimate","5,913","52","6,009","60"
"Barron County, Wisconsin","","","",""
"    Estimate","17,280","206","17,218","264"
"Bayfield County, Wisconsin","","","",""
"    Estimate","6,241","39","6,069","66"
"Brown County, Wisconsin","","","",""
"    Estimate","91,115","3,075","95,037","2,837"
"Buffalo County, Wisconsin","","","",""
"    Estimate","5,243","21","5,024","35"
"Burnett County, Wisconsin","","","",""
"    Estimate","6,351","39","6,115","98"
"Calumet County, Wisconsin","","","",""
"    Estimate","18,435","422","18,452","378"
"Chippewa County, Wisconsin","","","",""
"    Estimate","25,717","310","23,358","268"
"Clark County, Wisconsin","","","",""
"    Estimate","11,882","125","11,749","70"
"Columbia County, Wisconsin","","","",""
"    Estimate","22,341","255","21,347","385"
"Crawford County, Wisconsin","","","",""
"    Estimate","6,680","36","6,016","107"
"Dane County, Wisconsin","","","",""
"    Estimate","191,566","8,360","197,407","9,825"
"Dodge County, Wisconsin","","","",""
"    Estimate","35,921","452","32,543","310"
"Door County, Wisconsin","","","",""
"    Estimate","10,916","262","11,372","224"
"Douglas County, Wisconsin","","","",""
"    Estimate","16,933","228","17,007","282"
"Dunn County, Wisconsin","","","",""
"    Estimate","17,528","319","17,504","355"
"Eau Claire County, Wisconsin","","","",""
"    Estimate","38,702","1,081","40,778","1,217"
"Florence County, Wisconsin","","","",""
"    Estimate","1,835","1","1,804","6"
"Fond du Lac County, Wisconsin","","","",""
"    Estimate","37,959","538","39,686","442"
"Forest County, Wisconsin","","","",""
"    Estimate","3,601","15","3,549","15"
"Grant County, Wisconsin","","","",""
"    Estimate","20,800","135","19,209","269"
"Green County, Wisconsin","","","",""
"    Estimate","13,829","146","14,060","182"
"Green Lake County, Wisconsin","","","",""
"    Estimate","7,116","123","7,167","56"
"Iowa County, Wisconsin","","","",""
"    Estimate","8,955","87","8,964","118"
"Iron County, Wisconsin","","","",""
"    Estimate","2,401","22","2,381","18"
"Jackson County, Wisconsin","","","",""
"    Estimate","8,477","24","7,254","67"
"Jefferson County, Wisconsin","","","",""
"    Estimate","31,938","465","32,529","501"
"Juneau County, Wisconsin","","","",""
"    Estimate","11,109","223","9,558","151"
"Kenosha County, Wisconsin","","","",""
"    Estimate","58,116","2,373","60,561","3,255"
"Kewaunee County, Wisconsin","","","",""
"    Estimate","7,932","46","7,717","89"
"La Crosse County, Wisconsin","","","",""
"    Estimate","43,929","1,129","47,534","1,232"
"Lafayette County, Wisconsin","","","",""
"    Estimate","6,114","35","6,149","35"
"Langlade County, Wisconsin","","","",""
"    Estimate","7,639","20","7,556","59"
"Lincoln County, Wisconsin","","","",""
"    Estimate","11,243","43","11,100","60"
"Manitowoc County, Wisconsin","","","",""
"    Estimate","29,923","473","30,726","517"
"Marathon County, Wisconsin","","","",""
"    Estimate","49,674","1,410","50,003","1,476"
"Marinette County, Wisconsin","","","",""
"    Estimate","16,134","175","15,992","170"
"Marquette County, Wisconsin","","","",""
"    Estimate","6,175","71","5,959","116"
"Menominee County, Wisconsin","","","",""
"    Estimate","1,491","2","1,578","0"
"Milwaukee County, Wisconsin","","","",""
"    Estimate","301,667","17,890","339,128","18,025"
"Monroe County, Wisconsin","","","",""
"    Estimate","17,034","289","16,459","201"
"Oconto County, Wisconsin","","","",""
"    Estimate","15,220","95","14,696","136"
"Oneida County, Wisconsin","","","",""
"    Estimate","14,449","97","14,475","167"
"Outagamie County, Wisconsin","","","",""
"    Estimate","67,469","1,589","69,158","1,759"
"Ozaukee County, Wisconsin","","","",""
"    Estimate","32,329","1,087","33,608","1,782"
"Pepin County, Wisconsin","","","",""
"    Estimate","2,877","11","2,779","29"
"Pierce County, Wisconsin","","","",""
"    Estimate","16,185","91","16,635","217"
"Polk County, Wisconsin","","","",""
"    Estimate","17,070","104","16,877","196"
"Portage County, Wisconsin","","","",""
"    Estimate","27,423","559","27,303","612"
"Price County, Wisconsin","","","",""
"    Estimate","5,627","33","5,224","54"
"Racine County, Wisconsin","","","",""
"    Estimate","69,106","2,084","72,446","2,165"
"Richland County, Wisconsin","","","",""
"    Estimate","6,596","59","6,687","74"
"Rock County, Wisconsin","","","",""
"    Estimate","57,200","1,237","60,713","1,886"
"Rusk County, Wisconsin","","","",""
"    Estimate","5,591","30","5,442","77"
"St. Croix County, Wisconsin","","","",""
"    Estimate","32,500","574","32,954","635"
"Sauk County, Wisconsin","","","",""
"    Estimate","23,551","328","24,009","341"
"Sawyer County, Wisconsin","","","",""
"    Estimate","6,746","89","6,404","67"
"Shawano County, Wisconsin","","","",""
"    Estimate","15,784","64","15,805","216"
"Sheboygan County, Wisconsin","","","",""
"    Estimate","41,826","2,011","41,441","1,700"
"Taylor County, Wisconsin","","","",""
"    Estimate","7,759","45","7,547","51"
"Trempealeau County, Wisconsin","","","",""
"    Estimate","10,659","176","10,474","112"
"Vernon County, Wisconsin","","","",""
"    Estimate","11,227","52","11,146","119"
"Vilas County, Wisconsin","","","",""
"    Estimate","9,081","100","8,923","90"
"Walworth County, Wisconsin","","","",""
"    Estimate","37,640","1,227","38,726","1,336"
"Washburn County, Wisconsin","","","",""
"    Estimate","6,238","17","6,369","54"
"Washington County, Wisconsin","","","",""
"    Estimate","50,902","850","51,799","1,006"
"Waukesha County, Wisconsin","","","",""
"    Estimate","143,858","5,314","152,325","6,149"
"Waupaca County, Wisconsin","","","",""
"    Estimate","20,062","170","19,578","207"
"Waushara County, Wisconsin","","","",""
"    Estimate","10,256","159","8,977","177"
"Winnebago County, Wisconsin","","","",""
"    Estimate","65,195","1,626","64,970","1,620"
"Wood County, Wisconsin","","","",""
"    Estimate","27,149","330","28,363","461"
"Albany County, Wyoming","","","",""
"    Estimate","15,495","461","14,541","325"
"Big Horn County, Wyoming","","","",""
"    Estimate","4,354","40","4,159","36"
"Campbell County, Wyoming","","","",""
"    Estimate","17,101","195","15,963","225"
"Carbon County, Wyoming","","","",""
"    Estimate","5,808","160","5,044","128"
"Converse County, Wyoming","","","",""
"    Estimate","5,167","0","4,836","166"
"Crook County, Wyoming","","","",""
"    Estimate","2,815","1","2,686","25"
"Fremont County, Wyoming","","","",""
"    Estimate","14,598","53","14,766","171"
"Goshen County, Wyoming","","","",""
"    Estimate","5,411","51","4,962","34"
"Hot Springs County, Wyoming","","","",""
"    Estimate","1,788","0","1,875","3"
"Johnson County, Wyoming","","","",""
"    Estimate","3,592","18","3,138","16"
"Laramie County, Wyoming","","","",""
"    Estimate","37,458","730","36,147","628"
"Lincoln County, Wyoming","","","",""
"    Estimate","7,110","40","6,762","92"
"Natrona County, Wyoming","","","",""
"    Estimate","29,625","238","29,710","422"
"Niobrara County, Wyoming","","","",""
"    Estimate","757","0","1,111","0"
"Park County, Wyoming","","","",""
"    Estimate","11,159","60","11,408","320"
"Platte County, Wyoming","","","",""
"    Estimate","3,461","59","3,348","35"
"Sheridan County, Wyoming","","","",""
"    Estimate","11,663","146","11,559","288"
"Sublette County, Wyoming","","","",""
"    Estimate","3,875","249","3,266","14"
"Sweetwater County, Wyoming","","","",""
"    Estimate","15,393","497","14,462","321"
